dataset,model,r2,mae,rmse,fit_s,predict_s,n_train,n_test
abalone,Ridge,0.5302528754432314,1.6086911739426064,2.198287313356576,0.01,0.0,3132,1045
abalone,RandomForest,0.5367018737109408,1.5511738437001594,2.1831453953226645,0.45,0.03,3132,1045
abalone,HistGradientBoosting,0.5336182065313902,1.5272440593900614,2.190398747438484,0.58,0.0,3132,1045
abalone,NoriV1,0.6000381255458258,1.4393950078316413,2.028437757264993,0.0,179.64,3132,1045
