dataset,model,r2,mae,rmse,fit_s,predict_s,n_train,n_test
autompg,Ridge,,,,,,298,100
autompg,RandomForest,0.8881980899175035,1.7435699999999992,2.51962408902598,0.15,0.03,298,100
autompg,HistGradientBoosting,0.8902634769283666,1.8454857866130003,2.4962422986606216,0.15,0.01,298,100
autompg,NoriV1,0.9181330845372466,1.5889085816716508,2.1560823973238827,0.0,6.59,298,100
