dataset,model,r2,mae,rmse,fit_s,predict_s,n_train,n_test
airfoil,Ridge,0.4845153084669285,3.92634358729779,4.957929096577725,0.0,0.0,1127,376
airfoil,RandomForest,0.9318392391834761,1.319074193262385,1.802850190411125,0.16,0.03,1127,376
airfoil,HistGradientBoosting,0.9261607220703442,1.333596381242741,1.8764463242733782,0.34,0.0,1127,376
airfoil,NoriV1,0.9842031910875282,0.5564469784868652,0.8679148270974371,0.0,29.53,1127,376
