dataset,model,r2,mae,rmse,fit_s,predict_s,n_train,n_test
california,Ridge,0.4728710918845732,0.5211404055377438,0.8156738243028273,0.01,0.0,3000,1000
california,RandomForest,0.7340232523742116,0.38319841096666674,0.579401939010953,0.62,0.03,3000,1000
california,HistGradientBoosting,0.7787147726451079,0.3503979956363931,0.5284870133513272,0.58,0.01,3000,1000
california,NoriV1,0.8209786251862663,0.2968726142894012,0.4753467760152997,0.0,159.36,3000,1000
