dataset,model,r2,mae,rmse,fit_s,predict_s,n_train,n_test
diabetes,Ridge,0.43840029731424446,45.91343863373228,55.72676328702819,0.01,0.0,331,111
diabetes,RandomForest,0.4741269689239882,43.096336336336336,53.92508446850069,0.15,0.03,331,111
diabetes,HistGradientBoosting,0.3928427238583795,45.797255071160464,57.94300126507707,0.16,0.0,331,111
diabetes,NoriV1,0.5351065258692624,40.250082051761474,50.702235660903774,0.0,9.7,331,111
