dataset,model,r2,mae,rmse,fit_s,predict_s,n_train,n_test
treecensus,Ridge,0.19502283275410826,5.413277049345013,7.042415929654735,0.02,0.0,3000,1000
treecensus,RandomForest,0.4824806752718531,3.8896966666666666,5.646679989161773,0.34,0.02,3000,1000
treecensus,HistGradientBoosting,0.5072412551626713,3.8979027441139125,5.509942419305445,0.61,0.01,3000,1000
treecensus,NoriV1,0.5691902593257754,3.5113379411158756,5.151961955176265,0.0,230.59,3000,1000
