dataset,model,r2,mae,rmse,fit_s,predict_s,n_train,n_test
abalone,Ridge,0.5302528754432314,1.6086911739426064,2.198287313356576,0.01,0.0,3132,1045
abalone,RandomForest,0.5367018737109408,1.5511738437001594,2.1831453953226645,0.45,0.03,3132,1045
abalone,HistGradientBoosting,0.5336182065313902,1.5272440593900614,2.190398747438484,0.58,0.0,3132,1045
abalone,NoriV1,0.6000381255458258,1.4393950078316413,2.028437757264993,0.0,179.64,3132,1045
wine,Ridge,0.26133878130311305,0.5709409462575147,0.7408594567398337,0.0,0.0,4872,1625
wine,RandomForest,0.4916613281458371,0.44032410256410254,0.6145960357661666,0.99,0.04,4872,1625
wine,HistGradientBoosting,0.44115769863852705,0.4925211764766414,0.6444033892595761,0.47,0.0,4872,1625
wine,NoriV1,0.5426511952847465,0.3898411784597034,0.5829575803394043,0.0,487.57,4872,1625
